ENSG	name	logFC	P.Value
ENSG00000220201	ZGLP1	-3.92e-01	1.27e-03
ENSG00000184939	ZFP90	-1.65e-01	1.27e-03
ENSG00000136444	RSAD1	-1.40e-01	1.28e-03
ENSG00000141542	RAB40B	 3.85e-01	1.28e-03
ENSG00000131653	TRAF7	 1.95e-01	1.29e-03
ENSG00000145220	LYAR	 2.58e-01	1.29e-03
ENSG00000141391	PRELID3A	-4.18e-01	1.29e-03
ENSG00000108106	UBE2S	 4.46e-01	1.30e-03
ENSG00000165819	METTL3	-1.20e-01	1.30e-03
ENSG00000257335	MGAM	 8.28e-01	1.30e-03
ENSG00000164175	SLC45A2	-5.17e-01	1.30e-03
ENSG00000171469	ZNF561	-1.04e-01	1.30e-03
ENSG00000136044	APPL2	-1.35e-01	1.31e-03
ENSG00000134086	VHL	-9.47e-02	1.31e-03
ENSG00000185115	NSMCE3	 1.32e-01	1.32e-03
ENSG00000168806	LCMT2	 1.66e-01	1.33e-03
ENSG00000121653	MAPK8IP1	 4.49e-01	1.33e-03
ENSG00000112541	PDE10A	 4.40e-01	1.33e-03
ENSG00000105829	BET1	-1.75e-01	1.34e-03
ENSG00000112293	GPLD1	-3.74e-01	1.35e-03
ENSG00000171757	LRRC34	-2.86e-01	1.35e-03
ENSG00000145860	RNF145	 1.86e-01	1.36e-03
ENSG00000147118	ZNF182	-1.30e-01	1.36e-03
ENSG00000166387	PPFIBP2	-1.86e-01	1.38e-03
ENSG00000121900	TMEM54	 4.60e-01	1.38e-03
ENSG00000018280	SLC11A1	 4.42e-01	1.40e-03
ENSG00000170581	STAT2	-1.52e-01	1.40e-03
ENSG00000132837	DMGDH	-4.17e-01	1.40e-03
ENSG00000181625	SLX1B	 2.68e-01	1.40e-03
ENSG00000049883	PTCD2	-1.82e-01	1.42e-03
ENSG00000164116	GUCY1A3	-3.81e-01	1.43e-03
ENSG00000151327	FAM177A1	 2.27e-01	1.44e-03
ENSG00000166313	APBB1	 1.59e-01	1.44e-03
ENSG00000128228	SDF2L1	 2.92e-01	1.44e-03
ENSG00000168334	XIRP1	 5.71e-01	1.45e-03
ENSG00000178966	RMI1	-2.32e-01	1.45e-03
ENSG00000103241	FOXF1	 6.78e-01	1.45e-03
ENSG00000170852	KBTBD2	-2.74e-01	1.46e-03
ENSG00000197863	ZNF790	-1.79e-01	1.46e-03
ENSG00000100714	MTHFD1	-2.14e-01	1.46e-03
ENSG00000179041	RRS1	 2.19e-01	1.46e-03
ENSG00000101004	NINL	-4.03e-01	1.47e-03
ENSG00000185869	ZNF829	-2.43e-01	1.49e-03
ENSG00000099625	CBARP	 5.24e-01	1.49e-03
ENSG00000151929	BAG3	 2.18e-01	1.49e-03
ENSG00000164124	TMEM144	-3.28e-01	1.49e-03
ENSG00000145386	CCNA2	-3.84e-01	1.50e-03
ENSG00000135912	TTLL4	 2.18e-01	1.51e-03
ENSG00000130147	SH3BP4	 2.76e-01	1.52e-03
ENSG00000138688	KIAA1109	-1.30e-01	1.53e-03
ENSG00000128928	IVD	-2.42e-01	1.54e-03
ENSG00000146457	WTAP	 9.10e-02	1.55e-03
ENSG00000255330	RP3-403A15.5	-2.85e-01	1.56e-03
ENSG00000119650	C14orf179	 1.74e-01	1.56e-03
ENSG00000036672	USP2	 2.74e-01	1.57e-03
ENSG00000093217	XYLB	-2.42e-01	1.59e-03
ENSG00000167562	ZNF701	-1.95e-01	1.60e-03
ENSG00000143514	TP53BP2	 1.46e-01	1.60e-03
ENSG00000060709	RIMBP2	 1.00e+00	1.60e-03
ENSG00000040487	PQLC2	 2.15e-01	1.63e-03
ENSG00000091127	PUS7	 1.38e-01	1.64e-03
ENSG00000145781	COMMD10	-1.82e-01	1.64e-03
ENSG00000214517	PPME1	 1.51e-01	1.65e-03
ENSG00000177105	RHOG	 1.89e-01	1.66e-03
ENSG00000079215	SLC1A3	-3.95e-01	1.66e-03
ENSG00000167100	SAMD14	 3.27e-01	1.67e-03
ENSG00000244038	DDOST	 1.13e-01	1.69e-03
ENSG00000143393	PI4KB	 8.62e-02	1.70e-03
ENSG00000107562	CXCL12	-2.27e-01	1.71e-03
ENSG00000131831	RAI2	 3.07e-01	1.71e-03
ENSG00000168003	SLC3A2	 1.63e-01	1.71e-03
ENSG00000128000	ZNF780B	-1.56e-01	1.72e-03
ENSG00000149658	YTHDF1	 9.40e-02	1.72e-03
ENSG00000131165	CHMP1A	 1.13e-01	1.73e-03
ENSG00000180773	SLC36A4	 2.17e-01	1.74e-03
ENSG00000197062	ZSCAN26	-1.32e-01	1.75e-03
ENSG00000101331	CCM2L	-2.43e-01	1.75e-03
ENSG00000124831	LRRFIP1	 1.28e-01	1.76e-03
ENSG00000152782	PANK1	-3.59e-01	1.77e-03
ENSG00000196182	STK40	 2.71e-01	1.77e-03
ENSG00000165886	UBTD1	 3.90e-01	1.78e-03
ENSG00000159720	ATP6V0D1	 1.29e-01	1.79e-03
ENSG00000198252	STYX	-1.44e-01	1.79e-03
ENSG00000100647	SUSD6	 1.38e-01	1.79e-03
ENSG00000262919	FAM58A	 2.29e-01	1.80e-03
ENSG00000245680	ZNF585B	-1.56e-01	1.81e-03
ENSG00000197872	FAM49A	 2.81e-01	1.81e-03
ENSG00000186409	CCDC30	-2.26e-01	1.81e-03
ENSG00000159713	TPPP3	 5.29e-01	1.81e-03
ENSG00000127483	HP1BP3	-9.30e-02	1.81e-03
ENSG00000100284	TOM1	 2.15e-01	1.82e-03
ENSG00000138459	SLC35A5	-1.33e-01	1.82e-03
ENSG00000058262	SEC61A1	 1.79e-01	1.82e-03
ENSG00000206172	HBA1	 8.67e-01	1.83e-03
ENSG00000198453	ZNF568	-3.22e-01	1.83e-03
ENSG00000205363	C15orf59	 4.66e-01	1.83e-03
ENSG00000186529	CYP4F3	 9.35e-01	1.83e-03
ENSG00000127989	MTERF1	-1.61e-01	1.83e-03
ENSG00000172878	METAP1D	-1.94e-01	1.83e-03
ENSG00000108187	PBLD	 2.54e-01	1.86e-03
ENSG00000196391	ZNF774	 2.81e-01	1.86e-03
ENSG00000115241	PPM1G	 1.08e-01	1.88e-03
ENSG00000100365	NCF4	 3.54e-01	1.89e-03
ENSG00000138376	BARD1	 3.42e-01	1.89e-03
ENSG00000171840	NINJ2	 6.10e-01	1.89e-03
ENSG00000189298	ZKSCAN3	-2.83e-01	1.89e-03
ENSG00000124785	NRN1	-2.46e-01	1.89e-03
ENSG00000102910	LONP2	-9.03e-02	1.89e-03
ENSG00000160972	PPP1R16A	-3.23e-01	1.90e-03
ENSG00000188629	ZNF177	-3.74e-01	1.90e-03
ENSG00000136542	GALNT5	-7.34e-01	1.90e-03
ENSG00000178896	EXOSC4	 2.16e-01	1.91e-03
ENSG00000181007	ZFP82	-2.73e-01	1.92e-03
ENSG00000126785	RHOJ	-1.82e-01	1.92e-03
ENSG00000213563	C8orf82	-2.52e-01	1.92e-03
ENSG00000071282	LMCD1	 2.46e-01	1.92e-03
ENSG00000133818	RRAS2	 2.57e-01	1.93e-03
ENSG00000005243	COPZ2	 2.35e-01	1.95e-03
ENSG00000187260	WDR86	-1.16e+00	1.96e-03
ENSG00000168005	C11orf84	 2.05e-01	1.97e-03
ENSG00000182481	KPNA2	 2.67e-01	1.97e-03
ENSG00000163947	ARHGEF3	-1.76e-01	1.98e-03
ENSG00000125772	GPCPD1	-2.89e-01	1.98e-03
ENSG00000113716	HMGXB3	 1.44e-01	1.99e-03
ENSG00000170558	CDH2	 6.58e-01	1.99e-03
ENSG00000117425	PTCH2	-3.66e-01	1.99e-03
ENSG00000197905	TEAD4	 2.44e-01	2.00e-03
ENSG00000162600	OMA1	-2.08e-01	2.01e-03
ENSG00000162302	RPS6KA4	 2.02e-01	2.01e-03
ENSG00000111490	TBC1D30	 2.78e-01	2.03e-03
ENSG00000171316	CHD7	 1.54e-01	2.04e-03
ENSG00000184900	SUMO3	 1.19e-01	2.04e-03
ENSG00000176142	TMEM39A	-1.07e-01	2.04e-03
ENSG00000090520	DNAJB11	 1.48e-01	2.04e-03
ENSG00000105700	KXD1	 1.27e-01	2.04e-03
ENSG00000128606	LRRC17	-3.52e-01	2.05e-03
ENSG00000186407	CD300E	 7.11e-01	2.05e-03
ENSG00000134917	ADAMTS8	 9.55e-01	2.06e-03
ENSG00000108389	MTMR4	-1.78e-01	2.07e-03
ENSG00000119711	ALDH6A1	-4.37e-01	2.07e-03
ENSG00000285269	RP11-240L7.5	-3.21e-01	2.08e-03
ENSG00000116514	RNF19B	 1.48e-01	2.08e-03
ENSG00000198130	HIBCH	-2.43e-01	2.08e-03
ENSG00000214114	MYCBP	 2.34e-01	2.09e-03
ENSG00000126759	CFP	 4.24e-01	2.09e-03
ENSG00000125966	MMP24	 7.28e-01	2.09e-03
ENSG00000261587	TMEM249	-7.29e-01	2.10e-03
ENSG00000148840	PPRC1	 1.78e-01	2.10e-03
ENSG00000186141	POLR3C	 1.07e-01	2.10e-03
ENSG00000261236	BOP1	 1.94e-01	2.10e-03
ENSG00000115607	IL18RAP	 5.98e-01	2.11e-03
ENSG00000259431	THTPA	 1.31e-01	2.12e-03
ENSG00000181192	DHTKD1	-2.52e-01	2.12e-03
ENSG00000266265	KLF14	 5.43e-01	2.14e-03
ENSG00000116001	TIA1	-9.62e-02	2.14e-03
ENSG00000187325	TAF9B	 2.02e-01	2.15e-03
ENSG00000089639	GMIP	 2.84e-01	2.15e-03
ENSG00000145725	PPIP5K2	-1.47e-01	2.16e-03
ENSG00000206177	HBM	 1.12e+00	2.16e-03
ENSG00000183283	DAZAP2	 1.19e-01	2.16e-03
ENSG00000250254	PTTG2	 6.97e-01	2.18e-03
ENSG00000148842	CNNM2	-3.09e-01	2.18e-03
ENSG00000184207	PGP	 2.95e-01	2.18e-03
ENSG00000171703	TCEA2	 1.51e-01	2.22e-03
ENSG00000173641	HSPB7	 2.89e-01	2.22e-03
ENSG00000141441	GAREM1	 2.34e-01	2.24e-03
ENSG00000176834	VSIG10	-2.55e-01	2.26e-03
ENSG00000100985	MMP9	 1.12e+00	2.26e-03
ENSG00000130054	FAM155B	 6.94e-01	2.26e-03
ENSG00000186577	C6orf1	 2.36e-01	2.27e-03
ENSG00000131355	ADGRE3	 9.24e-01	2.27e-03
ENSG00000124786	SLC35B3	-1.66e-01	2.28e-03
ENSG00000121057	AKAP1	-1.90e-01	2.28e-03
ENSG00000183207	RUVBL2	 1.45e-01	2.28e-03
ENSG00000180999	C1orf105	-9.18e-01	2.29e-03
ENSG00000160229	ZNF66	-2.21e-01	2.29e-03
ENSG00000115020	PIKFYVE	-1.21e-01	2.30e-03
ENSG00000169155	ZBTB43	 1.55e-01	2.30e-03
ENSG00000007541	PIGQ	 1.71e-01	2.30e-03
ENSG00000114120	SLC25A36	 2.16e-01	2.31e-03
ENSG00000135503	ACVR1B	 1.23e-01	2.31e-03
ENSG00000136856	SLC2A8	 2.37e-01	2.31e-03
ENSG00000155744	FAM126B	-1.49e-01	2.32e-03
ENSG00000138002	IFT172	-1.92e-01	2.32e-03
ENSG00000101608	MYL12A	 4.09e-01	2.35e-03
ENSG00000104695	PPP2CB	 1.22e-01	2.36e-03
ENSG00000153046	CDYL	 1.09e-01	2.36e-03
ENSG00000100764	PSMC1	 1.43e-01	2.36e-03
ENSG00000138101	DTNB	 2.45e-01	2.38e-03
ENSG00000172888	ZNF621	-1.28e-01	2.38e-03
ENSG00000266028	SRGAP2	-2.25e-01	2.39e-03
ENSG00000150551	LYPD1	 1.26e+00	2.39e-03
ENSG00000092330	TINF2	 1.03e-01	2.40e-03
ENSG00000132964	CDK8	 1.48e-01	2.41e-03
ENSG00000147606	SLC26A7	-4.21e-01	2.41e-03
ENSG00000163481	RNF25	 1.16e-01	2.42e-03
ENSG00000100368	CSF2RB	 3.41e-01	2.45e-03
ENSG00000151240	DIP2C	-1.74e-01	2.47e-03
ENSG00000078403	MLLT10	-1.19e-01	2.47e-03
ENSG00000197044	ZNF441	-1.99e-01	2.47e-03
ENSG00000198585	NUDT16	-1.84e-01	2.47e-03
ENSG00000129946	SHC2	 3.95e-01	2.48e-03
ENSG00000100100	PIK3IP1	-3.43e-01	2.49e-03
ENSG00000119979	FAM45A	 1.90e-01	2.49e-03
ENSG00000126778	SIX1	-1.77e-01	2.50e-03
ENSG00000179314	WSCD1	-3.00e-01	2.51e-03
ENSG00000105619	TFPT	 1.98e-01	2.55e-03
ENSG00000147813	NAPRT	-4.65e-01	2.58e-03
ENSG00000064201	TSPAN32	 4.29e-01	2.59e-03
ENSG00000075303	SLC25A40	-1.82e-01	2.59e-03
ENSG00000163867	ZMYM6	-1.14e-01	2.59e-03
ENSG00000204560	DHX16	 1.12e-01	2.60e-03
ENSG00000084110	HAL	 6.27e-01	2.60e-03
ENSG00000213973	ZNF99	-5.61e-01	2.60e-03
ENSG00000166323	C11orf65	-3.39e-01	2.60e-03
ENSG00000169116	PARM1	-3.93e-01	2.61e-03
ENSG00000154188	ANGPT1	-3.22e-01	2.61e-03
ENSG00000163444	TMEM183A	 1.01e-01	2.62e-03
ENSG00000178562	CD28	-6.24e-01	2.63e-03
ENSG00000240445	FOXO3B	-3.20e-01	2.64e-03
ENSG00000197563	PIGN	-1.16e-01	2.65e-03
ENSG00000128965	CHAC1	 9.96e-01	2.65e-03
ENSG00000138399	FASTKD1	-3.53e-01	2.65e-03
ENSG00000257103	LSM14A	 9.22e-02	2.66e-03
ENSG00000163935	SFMBT1	 1.50e-01	2.67e-03
ENSG00000162191	UBXN1	 1.83e-01	2.67e-03
ENSG00000131697	NPHP4	 2.71e-01	2.67e-03
ENSG00000178307	TMEM11	 2.19e-01	2.69e-03
ENSG00000163884	KLF15	-5.03e-01	2.69e-03
ENSG00000133246	PRAM1	 4.61e-01	2.69e-03
ENSG00000196544	BORCS6	 1.97e-01	2.70e-03
ENSG00000130023	ERMARD	-1.18e-01	2.71e-03
ENSG00000171827	ZNF570	-1.63e-01	2.71e-03
ENSG00000153933	DGKE	-2.13e-01	2.72e-03
ENSG00000100351	GRAP2	 5.06e-01	2.72e-03
ENSG00000137193	PIM1	 4.92e-01	2.73e-03
ENSG00000236104	ZBTB22	 1.87e-01	2.74e-03
ENSG00000166783	KIAA0430	-1.05e-01	2.75e-03
ENSG00000204227	RING1	 1.10e-01	2.75e-03
ENSG00000031698	SARS	 8.89e-02	2.78e-03
ENSG00000181450	ZNF678	-1.47e-01	2.79e-03
ENSG00000136866	ZFP37	-1.98e-01	2.79e-03
ENSG00000109458	GAB1	-2.77e-01	2.80e-03
ENSG00000070526	ST6GALNAC1	-3.66e-01	2.80e-03
ENSG00000158201	ABHD3	-2.76e-01	2.80e-03
ENSG00000155893	PXYLP1	 1.91e-01	2.81e-03
ENSG00000006016	CRLF1	 3.74e-01	2.81e-03
ENSG00000186951	PPARA	-2.43e-01	2.81e-03
ENSG00000011258	MBTD1	-1.49e-01	2.82e-03
ENSG00000101162	TUBB1	 9.55e-01	2.83e-03
ENSG00000055070	SZRD1	 1.67e-01	2.84e-03
ENSG00000070010	UFD1L	 1.86e-01	2.84e-03
ENSG00000170381	SEMA3E	-7.18e-01	2.84e-03
ENSG00000167768	KRT1	 1.15e+00	2.84e-03
ENSG00000163848	ZNF148	-9.29e-02	2.85e-03
ENSG00000140044	JDP2	 2.51e-01	2.85e-03
ENSG00000136026	CKAP4	 1.72e-01	2.87e-03
ENSG00000196684	HSH2D	 5.46e-01	2.87e-03
ENSG00000144026	ZNF514	-2.36e-01	2.87e-03
ENSG00000125538	IL1B	 7.70e-01	2.88e-03
ENSG00000178498	DTX3	-1.79e-01	2.91e-03
ENSG00000256500	RP11-73M18.2	 9.40e-01	2.91e-03
ENSG00000135709	KIAA0513	 2.47e-01	2.92e-03
ENSG00000134376	CRB1	-3.43e-01	2.93e-03
ENSG00000154642	C21orf91	-1.18e-01	2.94e-03
ENSG00000166592	RRAD	 5.96e-01	2.94e-03
ENSG00000078070	MCCC1	-2.14e-01	2.98e-03
ENSG00000111801	BTN3A3	-2.74e-01	2.99e-03
ENSG00000143368	SF3B4	 1.32e-01	2.99e-03
ENSG00000131373	HACL1	 1.46e-01	3.00e-03
ENSG00000062370	ZNF112	-1.59e-01	3.01e-03
ENSG00000176125	UFSP1	 2.90e-01	3.01e-03
ENSG00000185220	PGBD2	-2.03e-01	3.03e-03
ENSG00000109220	CHIC2	 1.54e-01	3.04e-03
ENSG00000171295	ZNF440	-1.60e-01	3.06e-03
ENSG00000154380	ENAH	 3.41e-01	3.07e-03
ENSG00000112218	GPR63	-4.59e-01	3.08e-03
ENSG00000175550	DRAP1	 1.51e-01	3.08e-03
ENSG00000120705	ETF1	 1.29e-01	3.09e-03
ENSG00000155465	SLC7A7	-4.14e-01	3.09e-03
ENSG00000162894	FCMR	 6.47e-01	3.10e-03
ENSG00000269825	CTD-3099C6.9	-3.02e-01	3.11e-03
ENSG00000214706	IFRD2	 2.02e-01	3.11e-03
ENSG00000187116	LILRA5	 6.16e-01	3.12e-03
ENSG00000111077	TNS2	-2.77e-01	3.13e-03
ENSG00000166801	FAM111A	-1.62e-01	3.15e-03
ENSG00000172869	DMXL1	-7.85e-02	3.18e-03
ENSG00000132681	ATP1A4	 5.11e-01	3.20e-03
ENSG00000254004	ZNF260	-1.32e-01	3.20e-03
ENSG00000116670	MAD2L2	 1.80e-01	3.21e-03
ENSG00000101017	CD40	-2.29e-01	3.22e-03
ENSG00000076513	ANKRD13A	-1.22e-01	3.22e-03
ENSG00000198464	ZNF480	-1.59e-01	3.23e-03
ENSG00000094631	HDAC6	-1.24e-01	3.24e-03
ENSG00000186815	TPCN1	-2.03e-01	3.24e-03
ENSG00000135090	TAOK3	 1.06e-01	3.25e-03
ENSG00000181788	SIAH2	 1.46e-01	3.26e-03
ENSG00000170619	COMMD5	 1.21e-01	3.27e-03
ENSG00000137776	SLTM	-8.44e-02	3.27e-03
ENSG00000115758	ODC1	 2.35e-01	3.28e-03
ENSG00000049246	PER3	-2.49e-01	3.28e-03
ENSG00000213079	SCAF8	 1.15e-01	3.29e-03
ENSG00000161542	PRPSAP1	-1.42e-01	3.30e-03
ENSG00000185022	MAFF	 6.64e-01	3.30e-03
ENSG00000083097	DOPEY1	 1.29e-01	3.31e-03
ENSG00000138107	ACTR1A	 1.43e-01	3.31e-03
ENSG00000204010	IFIT1B	 1.10e+00	3.32e-03
ENSG00000085719	CPNE3	-9.78e-02	3.32e-03
ENSG00000142197	DOPEY2	-2.58e-01	3.33e-03
ENSG00000092531	SNAP23	-1.02e-01	3.33e-03
ENSG00000137145	DENND4C	-8.72e-02	3.33e-03
ENSG00000123064	DDX54	 1.83e-01	3.34e-03
ENSG00000124214	STAU1	 9.03e-02	3.34e-03
ENSG00000006432	MAP3K9	 3.69e-01	3.34e-03
ENSG00000151623	NR3C2	-1.41e-01	3.36e-03
ENSG00000093134	VNN3	 8.38e-01	3.37e-03
ENSG00000261652	C15orf65	 4.17e-01	3.38e-03
ENSG00000134255	CEPT1	-1.41e-01	3.38e-03
ENSG00000159200	RCAN1	 4.56e-01	3.40e-03
ENSG00000141198	TOM1L1	-2.90e-01	3.41e-03
ENSG00000149679	CABLES2	 1.86e-01	3.43e-03
ENSG00000168159	RNF187	 1.57e-01	3.43e-03
ENSG00000113742	CPEB4	 2.21e-01	3.45e-03
ENSG00000182093	WRB	 1.56e-01	3.47e-03
ENSG00000213918	DNASE1	-2.10e-01	3.47e-03
ENSG00000100116	GCAT	-2.78e-01	3.48e-03
ENSG00000125551	PLGLB2	 7.36e-01	3.48e-03
ENSG00000155252	PI4K2A	 1.74e-01	3.49e-03
ENSG00000160392	C19orf47	 1.61e-01	3.49e-03
ENSG00000177076	ACER2	 2.70e-01	3.50e-03
ENSG00000274211	SOCS7	 1.71e-01	3.51e-03
ENSG00000182885	ADGRG3	 6.92e-01	3.51e-03
ENSG00000177432	NAP1L5	 2.22e-01	3.52e-03
ENSG00000161267	BDH1	-6.37e-01	3.52e-03
ENSG00000124615	MOCS1	-1.92e-01	3.53e-03
ENSG00000077092	RARB	-2.91e-01	3.53e-03
ENSG00000159884	CCDC107	 1.96e-01	3.54e-03
ENSG00000125409	TEKT3	 6.69e-01	3.54e-03
ENSG00000123983	ACSL3	 2.16e-01	3.55e-03
ENSG00000188037	CLCN1	-2.43e-01	3.56e-03
ENSG00000141040	ZNF287	-1.43e-01	3.56e-03
ENSG00000119725	ZNF410	 8.77e-02	3.57e-03
ENSG00000124205	EDN3	-8.84e-01	3.59e-03
ENSG00000129317	PUS7L	-1.40e-01	3.62e-03
ENSG00000133739	LRRCC1	-2.27e-01	3.62e-03
ENSG00000166454	ATMIN	 1.71e-01	3.62e-03
ENSG00000041353	RAB27B	 4.78e-01	3.62e-03
ENSG00000173597	SULT1B1	 5.44e-01	3.65e-03
ENSG00000139636	LMBR1L	-1.41e-01	3.65e-03
ENSG00000166321	NUDT13	-2.30e-01	3.65e-03
ENSG00000132122	SPATA6	-1.57e-01	3.66e-03
ENSG00000102181	CD99L2	 1.46e-01	3.66e-03
ENSG00000227507	LTB	 4.83e-01	3.68e-03
ENSG00000075790	BCAP29	 1.42e-01	3.68e-03
ENSG00000116685	KIAA2013	 1.81e-01	3.68e-03
ENSG00000104899	AMH	-9.22e-01	3.68e-03
ENSG00000010017	RANBP9	 1.22e-01	3.68e-03
ENSG00000203685	C1orf95	-3.34e-01	3.68e-03
ENSG00000074695	LMAN1	-1.06e-01	3.69e-03
ENSG00000171681	ATF7IP	-1.28e-01	3.69e-03
ENSG00000126838	PZP	-3.27e-01	3.71e-03
ENSG00000005302	MSL3	 1.41e-01	3.71e-03
ENSG00000175591	P2RY2	 2.33e-01	3.71e-03
ENSG00000148426	PROSER2	 3.32e-01	3.72e-03
ENSG00000197937	ZNF347	-1.91e-01	3.73e-03
ENSG00000028528	SNX1	-1.34e-01	3.73e-03
ENSG00000163817	SLC6A20	-5.97e-01	3.73e-03
ENSG00000069943	PIGB	 2.10e-01	3.73e-03
ENSG00000184371	CSF1	 2.41e-01	3.74e-03
ENSG00000159917	ZNF235	-1.68e-01	3.79e-03
ENSG00000239474	KLHL41	 1.72e-01	3.79e-03
ENSG00000138442	WDR12	-1.50e-01	3.80e-03
ENSG00000132434	LANCL2	 1.76e-01	3.83e-03
ENSG00000137309	HMGA1	 2.78e-01	3.84e-03
ENSG00000165792	METTL17	-1.07e-01	3.84e-03
ENSG00000115486	GGCX	-9.41e-02	3.84e-03
ENSG00000167578	RAB4B	 1.74e-01	3.84e-03
ENSG00000064933	PMS1	-1.19e-01	3.84e-03
ENSG00000107611	CUBN	-2.47e-01	3.86e-03
ENSG00000163220	S100A9	 7.03e-01	3.87e-03
ENSG00000205659	LIN52	-2.52e-01	3.88e-03
ENSG00000198182	ZNF607	-2.58e-01	3.88e-03
ENSG00000180035	ZNF48	 1.67e-01	3.91e-03
ENSG00000123104	ITPR2	-1.58e-01	3.91e-03
ENSG00000138795	LEF1	 4.57e-01	3.93e-03
ENSG00000198517	MAFK	 2.36e-01	3.94e-03
ENSG00000106479	ZNF862	-1.54e-01	3.94e-03
ENSG00000196507	TCEAL3	 2.09e-01	3.94e-03
ENSG00000167701	GPT	-4.43e-01	3.95e-03
ENSG00000170633	RNF34	 2.17e-01	3.96e-03
ENSG00000140263	SORD	-3.65e-01	3.96e-03
ENSG00000149136	SSRP1	 1.05e-01	3.97e-03
ENSG00000130779	CLIP1	 1.91e-01	3.98e-03
ENSG00000006071	ABCC8	-4.74e-01	3.98e-03
ENSG00000120256	LRP11	 2.06e-01	3.98e-03
ENSG00000198853	RUSC2	 1.73e-01	3.98e-03
ENSG00000106635	BCL7B	 1.36e-01	4.02e-03
ENSG00000088826	SMOX	 2.50e-01	4.05e-03
ENSG00000188321	ZNF559	-2.68e-01	4.06e-03
ENSG00000160785	SLC25A44	 1.21e-01	4.06e-03
ENSG00000130706	ADRM1	 1.78e-01	4.08e-03
ENSG00000131242	RAB11FIP4	 3.61e-01	4.09e-03
ENSG00000113356	POLR3G	-2.19e-01	4.11e-03
ENSG00000184786	TCTE3	 1.56e-01	4.11e-03
ENSG00000198053	SIRPA	 2.30e-01	4.12e-03
ENSG00000136603	SKIL	 2.68e-01	4.13e-03
ENSG00000112996	MRPS30	-1.62e-01	4.13e-03
ENSG00000138152	BTBD16	 5.76e-01	4.14e-03
ENSG00000178996	SNX18	-1.33e-01	4.16e-03
ENSG00000125835	SNRPB	 1.27e-01	4.18e-03
ENSG00000176108	CHMP6	 1.49e-01	4.20e-03
ENSG00000177602	GSG2	 5.65e-01	4.21e-03
ENSG00000115073	ACTR1B	 9.47e-02	4.23e-03
ENSG00000010626	LRRC23	 2.44e-01	4.24e-03
ENSG00000160013	PTGIR	 4.47e-01	4.25e-03
ENSG00000204590	GNL1	 1.26e-01	4.25e-03
ENSG00000077157	PPP1R12B	-1.53e-01	4.26e-03
ENSG00000167842	MIS12	 1.57e-01	4.27e-03
ENSG00000139835	GRTP1	-3.19e-01	4.27e-03
ENSG00000115828	QPCT	 5.39e-01	4.28e-03
ENSG00000128594	LRRC4	 4.10e-01	4.29e-03
ENSG00000081665	ZNF506	-1.52e-01	4.29e-03
ENSG00000185090	MANEAL	 2.37e-01	4.29e-03
ENSG00000033050	ABCF2	 1.32e-01	4.29e-03
ENSG00000067840	PDZD4	 5.01e-01	4.33e-03
ENSG00000149798	CDC42EP2	 2.21e-01	4.33e-03
ENSG00000167671	UBXN6	 1.78e-01	4.34e-03
ENSG00000122574	WIPF3	 3.30e-01	4.34e-03
ENSG00000186532	SMYD4	-1.55e-01	4.35e-03
ENSG00000165732	DDX21	 1.25e-01	4.41e-03
ENSG00000112530	PACRG	 3.52e-01	4.43e-03
ENSG00000188290	HES4	 3.46e-01	4.43e-03
ENSG00000163681	SLMAP	 1.40e-01	4.44e-03
ENSG00000165186	PTCHD1	-7.73e-01	4.44e-03
ENSG00000183571	PGPEP1L	 4.86e-01	4.48e-03
ENSG00000243978	RGAG1	 5.17e-01	4.49e-03
ENSG00000168301	KCTD6	 1.52e-01	4.50e-03
ENSG00000007080	CCDC124	 2.13e-01	4.53e-03
ENSG00000083720	OXCT1	-5.70e-01	4.53e-03
ENSG00000115806	GORASP2	 9.39e-02	4.55e-03
ENSG00000147454	SLC25A37	 1.72e-01	4.57e-03
ENSG00000166896	ATP23	 4.30e-01	4.58e-03
ENSG00000103145	HCFC1R1	 3.02e-01	4.58e-03
ENSG00000197893	NRAP	 2.57e-01	4.59e-03
ENSG00000160336	ZNF761	-1.33e-01	4.59e-03
ENSG00000165389	SPTSSA	 1.75e-01	4.61e-03
ENSG00000119121	TRPM6	 3.57e-01	4.62e-03
ENSG00000052795	FNIP2	 2.73e-01	4.63e-03
ENSG00000138079	SLC3A1	 4.53e-01	4.63e-03
ENSG00000101412	E2F1	 2.46e-01	4.64e-03
ENSG00000205581	HMGN1	-1.66e-01	4.66e-03
ENSG00000125458	NT5C	 1.64e-01	4.66e-03
ENSG00000102900	NUP93	 1.04e-01	4.67e-03
ENSG00000165914	TTC7B	 1.49e-01	4.69e-03
ENSG00000131778	CHD1L	 1.76e-01	4.70e-03
ENSG00000159461	AMFR	 1.51e-01	4.70e-03
ENSG00000259330	INAFM2	 1.71e-01	4.70e-03
ENSG00000174903	RAB1B	 1.09e-01	4.71e-03
ENSG00000172725	CORO1B	-1.71e-01	4.71e-03
ENSG00000156298	TSPAN7	 1.60e-01	4.71e-03
ENSG00000135723	FHOD1	 1.97e-01	4.72e-03
ENSG00000141741	MIEN1	 2.76e-01	4.72e-03
ENSG00000196381	ZNF781	-3.16e-01	4.73e-03
ENSG00000143416	SELENBP1	-2.81e-01	4.73e-03
ENSG00000070269	TMEM260	-1.38e-01	4.75e-03
ENSG00000165702	GFI1B	 7.51e-01	4.76e-03
